ddate,timestamp,calculated_vix,market_vix,dte1,dte2,f1,f2,k0_1,k0_2,sigma1,sigma2,r1,r2,call_volume,put_volume,put_call_volume_ratio,call_oi,put_oi,put_call_oi_ratio,avg_call_iv,avg_put_iv,put_call_iv_ratio,otm_put_iv_skew,vix_diff,calc_time
2018-08-28,2024-12-22 14:22:51.512132,12.503282933025641,12.5,24,31,2899.4492530979,2899.8497379289834,2900.0,2900.0,0.013217701077886373,0.015037240982373846,0.019504582885356676,0.019504582885356676,132320,160832,1.2154776299879082,1712551,2798226,1.6339519231836015,0.2313769713261649,0.22901998207885305,0.9898132072790025,1.382617106089008,0.0032829330256411993,1.5873637199401855
2018-08-29,2024-12-22 14:22:52.913390,12.246251774934718,12.25,30,37,2915.1502553325413,2915.8016631098812,2915.0,2915.0,0.014207748871745536,0.015164179437756392,0.019603609944520616,0.019603609944520616,185430,204703,1.1039367955562747,1846686,3000288,1.6246876837751518,0.2269327371695179,0.23293561430793158,1.026452230794403,1.3320299318875217,0.0037482250652818294,1.4010593891143799
2018-08-30,2024-12-22 14:22:54.282486,13.551726618173198,13.529999732971191,29,36,2902.5041210461063,2902.945848609324,2905.0,2905.0,0.01732609878081828,0.017751318725766914,0.019603609944520616,0.019603609944520616,69009,118365,1.7152110594270313,380376,779288,2.0487307295938755,0.21453457249070632,0.2102992565055762,0.9802581190716309,1.409649952903967,0.02172688520200694,1.3688914775848389
2018-08-31,2024-12-22 14:22:55.670408,12.868886395530277,12.859999656677246,28,35,2905.951499574377,2906.5029269761317,2905.0,2905.0,0.015445999790230473,0.01618113194633857,0.019405550922770264,0.019405550922770264,31655,85929,2.7145474648554733,364593,788321,2.1621945566700402,0.19569863184079603,0.2135723880597015,1.0913330668220822,1.3975485337287237,0.008886738853030707,1.3877294063568115
2018-09-04,2024-12-22 14:22:57.272866,13.20327321647246,13.15999984741211,24,31,2898.9985996131113,2899.5992869396705,2900.0,2900.0,0.015938170901610024,0.016590689675495967,0.019900661706336174,0.019900661706336174,76498,123784,1.6181338074198017,356565,780204,2.1881115645113796,0.20695186781609196,0.21384166666666665,1.0332917935135397,1.4453240142639068,0.043273369060351285,1.6022439002990723
2018-09-05,2024-12-22 14:22:58.653647,13.92259331331997,13.90999984741211,30,37,2889.5492223852593,2889.498944789118,2890.0,2890.0,0.018363657274872814,0.0192367831730564,0.019900661706336174,0.019900661706336174,78506,137725,1.7543245102285177,493622,1043294,2.113548423692623,0.220634704112337,0.1992232698094283,0.9029552744702983,1.540289490266862,0.01259346590786059,1.3805828094482422
2018-09-06,2024-12-22 14:23:00.037255,14.696781667370109,14.649999618530273,29,36,2880.100165675186,2880.1002035308093,2880.0,2880.0,0.020299226520488316,0.021261385995807573,0.019702632100748494,0.019702632100748494,18524,48815,2.635229971928309,239479,493201,2.059474943523232,0.21107587939698488,0.1942368090452261,0.9202226687394803,1.5634262950393758,0.04678204883983561,1.3833394050598145
2018-09-07,2024-12-22 14:23:01.417974,14.919994089563174,14.880000114440918,28,35,2876.101762952483,2876.102179341861,2875.0,2875.0,0.020781919905412075,0.02171017150429742,0.019702632100748494,0.019702632100748494,17253,54357,3.1505825073900193,244285,530579,2.1719671694946476,0.21627155388471178,0.19731002506265666,0.9123253683553642,1.6028001275297958,0.039993975122255776,1.3805208206176758
2018-09-10,2024-12-22 14:23:03.034224,14.189772174158174,14.15999984741211,25,32,2881.6023047971653,2881.60291035637,2880.0,2880.0,0.018330418495823512,0.019311207930698213,0.019702632100748494,0.019702632100748494,28358,59415,2.0951759644544747,242088,543981,2.247038267076435,0.19864201257861633,0.20128603773584905,1.0133105032662026,1.5228953195904904,0.029772326746064337,1.6160540580749512
2018-09-11,2024-12-22 14:23:04.399515,13.243848843245424,13.220000267028809,24,31,2891.0514850469995,2891.1520704646173,2890.0,2890.0,0.015466631114281124,0.01676741484985126,0.020098671706002862,0.020098671706002862,56630,101638,1.7947730884690094,247299,550000,2.2240284028645485,0.17991147540983607,0.19579533417402267,1.0882870796762873,1.525677113901774,0.02384857621661496,1.3650991916656494
